Date;Open;High;Low;Close
Dec 30, 2022;218.04;218.04;218.04;218.04
Dec 31, 2021;244.33;244.33;244.33;244.33
Dec 31, 2020;238.30;238.30;238.30;238.30
Dec 31, 2019;237.88;237.88;237.88;237.88
Dec 31, 2018;218.63;218.63;218.63;218.63
Dec 29, 2017;210.66;210.66;210.66;210.66
Dec 30, 2016;223.31;223.31;223.31;223.31
Dec 31, 2015;212.40;212.40;212.40;212.40
Dec 31, 2014;196.89;196.89;196.89;196.89
Dec 31, 2013;171.89;171.89;171.89;171.89
Dec 31, 2012;184.45;184.45;184.45;184.45
Dec 30, 2011;179.57;179.57;179.57;179.57
Dec 31, 2010;164.48;164.48;164.48;164.48
Dec 31, 2009;145.72;145.72;145.72;145.72
Dec 31, 2008;140.66;140.66;140.66;140.66
Dec 31, 2007;127.62;127.62;127.62;127.62
Dec 29, 2006;129.26;129.26;129.26;129.26
Dec 30, 2005;135.51;135.51;135.51;135.51
Dec 31, 2004;123.12;123.12;123.12;123.12
Dec 31, 2003;121.41;121.41;121.41;121.41
Dec 31, 2002;129.71;129.71;129.71;129.71
Dec 31, 2001;131.19;131.19;131.19;131.19
Dec 29, 2000;122.49;122.49;122.49;122.49
