# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1980;7197;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1981;9754;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1982;12394;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1983;14726;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1984;18493;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1985;23215;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1986;28475;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1987;33632;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1988;41685;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1989;48247;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1990;57657;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1991;71962;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1992;86408;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1993;102394;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1994;115574;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1995;132809;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1996;141107;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1997;155080;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1998;179298;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/1999;205128;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2000;226406;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2001;243467;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2002;251032;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2003;265452;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2004;288099;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2005;306747;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2006;330012;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2007;347669;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2008;346531;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2009;361202;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2010;368399;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2011;369083;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2012;366053;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2013;370338;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2014;377221;
12561023;Património dos particulares - Ativos financeiros-Total;Valor;Milhões de euros;31/12/2015;387591;
