Date;Open;High;Low;Close
Dec 30, 2022;6236.96;6236.96;6236.96;6236.96
Dec 31, 2021;7428.58;7428.58;7428.58;7428.58
Dec 31, 2020;5982.68;5982.68;5982.68;5982.68
Dec 31, 2019;5272.01;5272.01;5272.01;5272.01
Dec 31, 2018;4140.26;4140.26;4140.26;4140.26
Dec 29, 2017;4469.93;4469.93;4469.93;4469.93
Dec 30, 2016;3772.65;3772.65;3772.65;3772.65
Dec 31, 2015;3461.27;3461.27;3461.27;3461.27
Dec 31, 2014;3390.78;3390.78;3390.78;3390.78
Dec 31, 2013;3087.88;3087.88;3087.88;3087.88
Dec 31, 2012;2396.05;2396.05;2396.05;2396.05
Dec 30, 2011;2070.80;2070.80;2070.80;2070.80
Dec 31, 2010;2191.00;2191.00;2191.00;2191.00
Dec 31, 2009;1991.71;1991.71;1991.71;1991.71
Dec 31, 2008;1584.06;1584.06;1584.06;1584.06
Dec 31, 2007;2583.87;2583.87;2583.87;2583.87
Dec 29, 2006;2468.10;2468.10;2468.10;2468.10
Dec 30, 2005;2135.90;2135.90;2135.90;2135.90
Dec 31, 2004;1844.93;1844.93;1844.93;1844.93
Dec 31, 2003;1657.39;1657.39;1657.39;1657.39
Dec 31, 2002;1326.91;1326.91;1326.91;1326.91
Dec 31, 2001;1747.99;1747.99;1747.99;1747.99
Dec 29, 2000;2037.54;2037.54;2037.54;2037.54
Dec 31, 1999;2260.67;2260.67;2260.67;2260.67
Dec 31, 1998;1770.59;1770.59;1770.59;1770.59
Dec 31, 1997;1467.39;1467.39;1467.39;1467.39
